0.000020,1,0.000551,43,0.004846,188,0.080754,768,0.347504,3088,
0.000015,1,0.000587,43,0.007482,188,0.075232,768,0.345609,3088,
0.000017,1,0.000541,43,0.007288,188,0.076410,768,0.326652,3088,
0.000017,1,0.000512,43,0.007549,188,0.074615,768,0.336936,3088,
0.000020,1,0.000533,43,0.007376,188,0.076007,768,0.346043,3088,
0.000017,1,0.000492,43,0.007205,188,0.076226,768,0.332523,3088,
0.000018,1,0.000491,43,0.007960,188,0.075465,768,0.332260,3088,
0.000018,1,0.000472,43,0.007710,188,0.076684,768,0.341484,3088,
0.000015,1,0.000521,43,0.007408,188,0.081573,768,0.367414,3088,
0.000015,1,0.000491,43,0.007230,188,0.079573,768,0.376977,3088,
