0.057668,0.421184,1.042404,1.934114,4.180026,6.351605,11.021082,17.472628,21.126278,55.637926,76.993279,
0.053436,0.426778,1.036296,1.923762,4.169671,6.329600,11.097981,17.770917,21.327583,55.594030,77.149602,
0.053431,0.427326,1.021942,1.935746,4.215391,6.435710,10.995999,17.589121,21.031538,55.625763,77.121257,
0.053384,0.420589,1.024540,1.918015,4.316180,6.321402,10.927978,17.739080,21.391966,55.679244,76.774436,
0.054514,0.426645,1.022775,1.928144,4.138202,6.289445,10.858485,17.602270,20.531805,55.602003,76.981381,
0.055273,0.430769,1.034036,1.939512,4.209803,6.347522,11.080961,17.753907,21.271151,55.620628,77.205983,
0.054193,0.424678,1.026714,1.933658,4.163916,6.373071,11.025861,18.333185,21.182605,55.732912,77.227997,
0.056396,0.423302,1.019729,1.946841,4.228730,6.373261,11.046345,17.999883,21.462452,55.649607,77.060089,
0.057834,0.417923,1.037209,1.930517,4.210951,6.374684,11.022749,17.869426,21.412931,55.728372,77.200032,
0.054459,0.426583,1.025439,1.918645,4.166903,6.441168,10.973942,18.315168,21.190660,55.723431,77.215778,
