0.056901,0.495233,0.958415,1.788386,6.914771,6.869986,17.582571,28.862598,23.495062,87.116095,120.201616,
0.056492,0.486886,0.948550,1.818135,7.083823,6.863970,17.901005,28.848506,23.480594,89.576108,120.584089,
0.055539,0.468912,0.952275,1.788638,7.203708,6.857952,17.612446,28.852089,23.386887,87.452287,120.404156,
0.056136,0.490011,0.947288,1.821275,7.066428,6.699096,17.823765,27.574304,23.581209,87.760618,121.140865,
0.057892,0.484061,0.959441,1.806929,7.053209,6.704596,17.618097,28.247261,23.344938,87.796465,124.082097,
0.055566,0.476041,0.947286,1.789609,7.032493,6.888195,17.337399,28.703557,23.455863,88.220977,121.184339,
0.055612,0.478723,0.949026,1.783683,7.019129,6.857770,17.680543,29.020337,23.498800,87.693994,120.819500,
0.056211,0.474218,0.951063,1.823750,7.124727,6.895847,17.483584,28.876398,23.601681,87.616186,121.234801,
0.056147,0.481017,0.948574,1.799777,7.023850,6.764670,17.941652,29.033657,23.117453,89.816810,121.497801,
0.056309,0.478077,0.953224,1.788413,7.265377,6.925918,17.335404,29.094346,23.506753,88.162184,121.365142,
